Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
yellow mountain lily,,noun,,Ranunculus Godleyanus .,[none],,,[none],,[none],,,
yellow peril,,noun,,"a former derogatory reference to the prospect of incoming Asian people, specifically Chinese",[none],,,[none],,[none],,,general English
yellow pine,,noun,1,"[S.I.] straw, used in areas with little wood for fuel.",[none],,,Rural,Farm Words,[none],,,"a1919 W. Best Otaki Vernac. (And.) -->[1919 July 29] Ver.(WB). = Vernacular names used by settlers supplied by W.Best, Otaki (And) (v) (jocular local, obs) straw for firewood"
yellow pine,1,noun,2,descriptive term for kauri,[none],,,[none],,[none],,,kauri <i>Agathis australis</i>
yellow pine,,noun,,.,[none],,,[none],,[none],,,"usually the yellow silver pine <i>Lepidothamnus intermedius</i>, previously <i>Dacrydium intermedium</i>; but also sometimes <i>D colensoi</i> or even the Pink pine, <i>D biforme</i>. 1876 [?date] TrNZI 163 (Blair, Otago) Yellow pine ... from the wood ... Bark like that of a young red pine."
yellow shrub,,noun,,Cassinia fulvida,[none],,,[none],,[none],,,"1916 Official Trade Register, NZ Assoc. Nurserymen (And)"
yellow silver pine,1,noun,2,.,[none],,,[none],,[none],,,"now <i>Lepidothamnus intermedius</i>, previously <i>Dacrydium intermedium</i>"
yellow tree daisy,,noun,,Traversii baccharoides,[none],,,[none],,[none],,,
yellow tussock,,noun,,,[none],,,[none],,[none],,,incl attrib (yellow tussock grass)
yellow union,,noun,,,[none],,,[none],,[none],,,
yellow weed,,noun,,WILD TURNIP (Sinapsis arvensis),[none],,,[none],,[none],,,
yellow weever,,noun,,,[none],,,[none],,[none],,,
yellow-belly,,noun,,Hypnum cupressiformevar. <i> chrysogaster ... </i>,,,,[none],,[none],,,
yellow-breasted tit,2,noun,2,,[none],,,[none],,[none],,,"yellow breasted tit, yellow-breasted tit"
yellow-breasted tit,,noun,,,[none],,,[none],,[none],tomtit,,yellow breasted tit
yellow-button,,noun,,"Cotula coronopifolia, =BACHELOR'S BUTTON",,,,[none],,[none],,,
yellow-crowned parakeet,,noun,,"a small parrot, Cyanoramphus auriceps, with red forehead and yellow crown (compare RED-CROWNED PARAKEET).",[none],,,[none],,[none],also Chatham Island yellow-crowned parakeet,,also yellow-head parakeet (1908 below)
yellow-crowned penguin,,noun,,"yellow-eyed penguin, hoiho",[none],,,[none],,[none],,,"<i>Megadyptes antipodes</i>; aka yep, hoiho, yellow-eyed penguin, yellow eye"
yellow-eye,,noun,,"hoiho, rare penguin unique to NZ",[none],,,[none],,[none],also yellow-eyed penguin,,"<i>Megadyptes antipodes</i>, aka yep, yellow-eyed penguin, hoiho"
yellow-eyed mullet,,noun,,,[none],,,[none],,[none],also mullet,,
yellow-eyed penguin,,noun,,"hoiho, rare penguin unique to NZ",[none],,,[none],,[none],also yellow-eye,,"<i>Megadyptes antipodes</i>, aka yep, hoiho, yellow eye"
yellow-fronted parakeet,,noun,,,[none],,,[none],,[none],,,
yellow-hammer,,noun,,,,,,[none],,[none],,,
yellow-hammer,,noun,2,,,,,[none],,[none],,,
yellow-headed tit,,noun,,,[none],,,[none],,[none],tit,,
yellow-headed tit,,noun,,,[none],,,[none],,[none],,,yellow headed tit
yellow-leaf,,noun,,a disease of flax,,,,[none],,[none],,,nf OED
yellow-prickled lawyer,,noun,,,[none],,,[none],,[none],,,
yellow-topped parakeet,,noun,,<i>Platycercus auriceps</i>,[none],,,[none],,[none],,,Also: Kuhl. (Yellow-topped Parrakeet.)
yellow-wattled crow,1,noun,2,,[none],,,Environment,,[none],,,
yellow-wood,,noun,,"C. australis(formerly <i> C. grandifolia</i>), =RAUREKAU",,,,[none],,[none],,,"[1919 July 29] Ver.(WB). = Vernacular names used by settlers supplied by W.Best, Otaki (And) <i> Coprosma grandifolia</i> yellow"
yellow-wood,,noun,,"C. lucida, =KARAMU",,,,[none],,[none],,,
yellow-wood,,noun,2,Oleariaspp.,,,,[none],,[none],,,
yellow-wood,,noun,,"Coprosmaspp., esp. a. <i> C. linariifolia </i>[f. its yellow wood]",[none],,,[none],,[none],,,aka yellow wood
yellow-wood,,noun,,"C. australis(formerly <i> C. grandifolia</i>), =RAUREKAU",,,,[none],,[none],,,
yellowbanded hussar,,noun,,,[none],,,[none],,[none],,,
yellowbanded perch,1,noun,,"NZ and Southern Australian fish, pale yellow with blackish bars.",[none],,,[none],,[none],,,<i>Acanthistius cinctus</i>
yellowbelly flounder,,noun,,= yellow flounder,[none],,,[none],,[none],,,also yellowbelly elliptical
yellowfin,,noun,,elliptical for yellowfin(ned) tuna q.v.,[none],,,[none],,[none],-,,
yellowfin(ned) tuna,,noun,,Thunnus albacares (formerly Neothunnus macropterus),[none],,,[none],,[none],,,
yellowfoot,,noun,,a queen paua,,,,[none],,[none],,,
yellowhead,,noun,,"mohua, an endangered small South Island bird.",[none],,,[none],,[none],mohua,,"yellow-head, yellow head; see also mohua"
yellowtail,,noun,,"Latris lineata, Forst. = TRUMPETER but applied to various sea fish",,,,[none],,[none],also yellowtail kingfish,,
yellowtail,,noun,2,"Seriola lalandii, =KINGFISH",,,,[none],,[none],,,
yellowtail,,noun,3,,,,,[none],,[none],,,
yellowtail,,noun,4,red cod =haddock,,,,[none],,[none],,,
yellowtail,,noun,5,<i>Trachurus novaezelandiae</i> Mackerel,,,,[none],,[none],,,
yellowtail,,noun,6,Decapterus koheru=KOHERU,,,,[none],,[none],,,
yellowtail kingfish,,noun,,Seriola lalandi,[none],,,[none],,[none],,,
yense,,noun,,,,,,[none],,[none],,,
yep,,noun,,"yellow-eyed penguin; the hoiho, rare penguin unique to NZ",acronym,,,[none],,[none],,,"<i>Megadyptes antipodes</i>, aka yep, yellow-eyed penguin, hoiho"
yerk,,noun,,"a young bird, a nestling",[none],,,[none],,[none],cf. younker,,usu. pl. ca1900 Otago boys p.c. Mr W. Phillipps
YES,,abbreviation,,Young Enterprise Scheme,acronym,,,[none],,[none],,,
"yes, buttery",,noun,,,[none],,,[none],,[none],,,
yew,,noun,,,,,,[none],,[none],,,
