Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
yahoo,"Mar 5, 1897",Evening Post,,2,,"May I suggest through your valuable paper that Mr. Hislop would pay us another visit at an early date and explain the facts of the case, and in order to keep out yahoos make a small charge, proceeds to be given to the Petone Benevolent Institution?",
yahoo,"May 26, 1919",NZ Truth,,6,,YOUTHFUL YAHOOS.,
yahoo,"Dec 15, 1926",Evening Post,,11,,""".. He is the head of a gang of 'yahoos,'"" said the Senior Sergeant at the Magistrate's Court to-day, when referring to Herbert Harding, who pleaded guilty to using obscene language.",
yahoo,"Sep 26, 1902",Bush Advocate,,3,,I hope that the next time snow falls in Dannevirke the police will see that the main street is kept clear of yahoos.,
yahooing,"Dec 2, 1869",Nelson Evening Mail,,2,,"A crowd of dancing apes would have knocked out better wit, fun and point than all the yahooing, howling and slishslush emitted by these ""intelligent electors.""",
yahooism,"Jun 21, 1992",Sunday Star (Auckland),,A5,,There were elements of yahooism there.,
yakker,"Oct 12, 2001",Evening Post,,22,,"[Hdg] Stop stressing out, Buck tells yakkers... Shelford has a message for the yakkers. ""If you look at the number of people who ring up talkback and have got all the answers to rugby, we would have some great junior teams if everyone was out there coaching [instead].""",
yam,"Oct 27, 2001",Listener (New Zealand Listener),,43,,"Yams, parsnips and half the cauliflower will be fried and steamed gently with Indian spices.",
yam,"Apr 13, 1985",Listener (New Zealand Listener),,8,,"yams, boxes of wriggly pink toes...",
yam,Dec 1991,Cuisine,,51,,[He] grows for export the little pink New Zealand yam (actually a South American tuber favoured by the Incas).,
yam,1898,Austral English,MORRIS,522,,"Yam, n. a West Australian tuber, <i>Dioscorea hastifolia</i>, Ness., <i> N.O. Discorideae</i>. `One of the hardest of the Yams. The tubers are largely consumed by the local aborigines for food; it is the only plant on which they bestow any kind of cultivation.' (Mueller, <i> apud</i> Maiden, p. 22.)",
yam,1966,NZ Contemp. Dict. Suppl. (Whitcombe's),,629,,"yam n. one of several edible tubers, a staple food of aborigines",
yam,1968,NZ Contemp. Dict. Suppl. (Collins),,22,,"yam ... n. one of several edible tubers, a staple food of abos.",
