Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
veronica,,noun,,"the former generic name, and popular general name, for (members of) the genus Hebe. esp. Hebe salisifolia;=KOROMIKO",[none],,,[none],,[none],also koromiko,,
veronica,,noun,2,Veronica buxifolia var. <i> odora </i>,,,,[none],,[none],,,
veronica,,noun,2,Veronica amabilis var. <i>blanda </i>,,,,[none],,[none],,,
veronica,,noun,2,Veronica Lavaudiana,,,,[none],,[none],,,
veronica,,noun,2,Veronica lycopodioides,,,,[none],,[none],,,
veronica,,noun,2,,,,,[none],,[none],,,
veronica,,noun,2,,,,,[none],,[none],,,
veronica,,noun,2,Veronica tetragonia,,,,[none],,[none],,,
veronica,,noun,2,Veronica epacridea,,,,[none],,[none],,,
veronica,,noun,2,Veronica Traversii,[none],,,[none],,[none],,-,
veronica,,noun,2,Veronica catarractae,,,,[none],,[none],,,
veronica,,noun,2,Veronica lycopodioides ; and others,,,,[none],,[none],,,
veronica,,noun,2,Veronica elliptica,,,,[none],,[none],,,
veronica,,noun,2,Veronica salicifolia,,,,[none],,[none],,,
veronica,,noun,2,Veronica epacridea,,,,[none],,[none],,,
veronica,,noun,2,Veronica [persica]SPEEDWELL,,,,[none],,[none],,,
veronica,,noun,2,Veronica speciosa,,,,[none],,[none],,,
veronica,,noun,2,Veronica diosmaefolia,,,,[none],,[none],,,
veronica,,noun,2,Veronica Hookeriana,,,,[none],,[none],,,
veronica,,noun,2,Veronica Laingii,[none],,,[none],,[none],,,
verse,,verb,,to play against,[none],,,[none],,[none],-,,"from Karen Bardsley: new verb in Surry Hills (Australia) - to 'verse' someone - as in ""I'll verse you in cards / sport/ game""."
vert,,noun,,,[none],,,[none],,[none],,,skate boarders
vertical drinking,,noun,,,[none],,,[none],,[none],,,also UK
vertical grazing,,noun,1,the consuming by stock of shrubby plants that provide sustenance during drought or pugging.,,,,[none],Farm Words,[none],,,
vertical swill,,noun,,,[none],,,[none],,[none],,,
verticals,,noun,,,,,,[none],,[none],,,"Jim Cameron writes: NZPOD has an entry for <i>vertical blind</i>, which does not appear in OED or other British dictionaries or DNZE. The variant <i>verticals</i> is also used, by analogy with <i>venetians</i>."
vervain,,noun,,"blue top, =griffin weed, =missionary weed",,,,[none],,[none],,,
vervain,,noun,2,,,,,[none],,[none],,,
very cloudy underfoot,,phrase,,a soggy football field,,,,[none],,[none],,,"The remark was made by a Maori footballer during a football game, circa 1925"
vetch,,noun,,tare(s),,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,,,,,[none],,[none],,,
vetch,,noun,2,tares,,,,[none],,[none],,,
Vibrapac block,,noun,,,[none],trademark,,[none],,[none],,,Vibrapac is correct spelling
Vic,,noun,,short for Victoria University of Wellington (formerly Victoria University College),abbreviation,,,[none],,[none],,,-->ca1945 at least
vice-regal,,adjective,,of or relating to a Governor-General,[none],,,[none],,[none],,,
Victoria,,noun,,(Polack's name for) the South Island,[none],,,[none],,[none],,,
Victorianisation,,noun,,"the introduction of the style and methods of policing of the State of Victoria, especially to the goldfields areas",,,,[none],,[none],,,
Victory cigarette,,noun,,,[none],,,[none],,[none],,,
video parlour,,noun,,,[none],,,[none],,[none],,,Indian and African uses appear first on Google
Vienna,,noun,,a Vienna loaf,[none],,,[none],,[none],,,
Vienna chair,,noun,,,[none],,,[none],,[none],,,
Vietnamese mint,,noun,,,[none],,,[none],,[none],,,
VIF,,abbreviation,,Venture Investment Fund,,,,[none],,[none],,,
